YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EQ_PRIMARY,INTENSITY,COUNTRY,LOCATION_NAME,STATE,LATITUDE,LONGITUDE,DEATHS,INJURIES,Depth
1936,8.0,23.0,21.0,12.0,13.0,7.3,8.0,INDONESIA,"INDONESIA:  BANDA ACEH,LHOK SUKON,LHOKSEMAWE",no info,6.1,94.7,9.0,20.0,0.0
1936,9.0,9.0,0.0,0.0,0.0,0.0,8.0,INDONESIA,"INDONESIA:  N SUMATERA:  TAPANULI, KARO",no info,3.5,97.5,17.0,0.0,0.0
1936,11.0,2.0,20.0,46.0,0.0,0.0,0.0,JAPAN,"SANRIKU, JAPAN",no info,38.2,142.2,0.0,0.0,40.0
1936,11.0,11.0,17.0,11.0,24.0,5.5,0.0,CHINA,CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE:  S,no info,39.5,74.2,0.0,0.0,0.0
1936,11.0,13.0,12.0,31.0,0.0,7.3,10.0,RUSSIA,RUSSIA:  NEAR KAMCHATKA,no info,55.2,164.0,0.0,0.0,0.0
1936,12.0,19.0,0.0,0.0,0.0,0.0,0.0,EL SALVADOR,EL SALVADOR:  SAN VICENTE,no info,13.2,-88.7,400.0,0.0,0.0
1936,12.0,27.0,0.0,0.0,0.0,0.0,0.0,JAPAN,JAPAN:  NII JIMA,no info,34.4,139.2,3.0,0.0,0.0
1937,1.0,7.0,13.0,20.0,41.0,7.5,10.0,CHINA,CHINA:  QINGHAI PROVINCE,no info,35.5,97.6,0.0,0.0,60.0
1937,1.0,12.0,0.0,0.0,0.0,0.0,0.0,NICARAGUA,"NICARAGUA:  CHINANDEGA,PORT CORINTO",no info,12.6,-87.2,0.0,0.0,0.0
1937,2.0,10.0,18.0,16.0,0.0,5.2,8.0,ALGERIA,"ALGERIA:  GUELMA, LAPAINE",no info,36.4,7.5,0.0,0.0,0.0
1937,2.0,21.0,7.0,2.0,0.0,7.6,0.0,RUSSIA,RUSSIA:  KURIL ISLANDS,no info,44.5,149.4,0.0,0.0,45.0
1937,4.0,16.0,3.0,1.0,37.0,8.1,0.0,FIJI,FIJI ISLANDS,no info,-21.5,-177.0,0.0,0.0,400.0
1937,5.0,28.0,0.0,0.0,0.0,0.0,8.0,PAPUA NEW GUINEA,"PAPUA NEW GUINEA:  KERAVIA, RABAUL, KOKOPO",no info,-4.271,152.203,0.0,0.0,0.0
1937,7.0,26.0,3.0,48.0,0.0,7.7,0.0,MEXICO,"MEXICO:  CENTRAL, PUEBLA:  ESPERANZA, VERACRUZ",no info,18.8,-97.5,34.0,0.0,0.0
1937,7.0,31.0,20.0,35.0,48.0,7.0,9.0,CHINA,CHINA:  SHANDONG PROVINCE,no info,35.4,115.1,390.0,0.0,0.0
1937,8.0,20.0,11.0,59.0,16.0,7.5,8.0,PHILIPPINES,PHILIPPINES:  LUZON,no info,14.5,121.5,1.0,200.0,60.0
1937,9.0,15.0,0.0,0.0,0.0,5.0,7.0,CHINA,CHINA:  SHANXI PROVINCE,no info,37.8,112.5,0.0,0.0,0.0
1937,9.0,21.0,21.0,2.0,0.0,0.0,0.0,RUSSIA,RUSSIA:  KAMCHATKA,no info,56.0,162.5,0.0,0.0,33.0
1937,9.0,27.0,8.0,55.0,10.0,7.2,9.0,INDONESIA,"INDONESIA:  JAVA:  JOGYAKARTA:  KLUMPIT,PRAMBANAN",no info,-9.4,110.2,1.0,0.0,70.0
1937,10.0,5.0,0.0,0.0,0.0,0.0,0.0,MEXICO,"MEXICO:  CHILPANCINGO,TIXTLA",no info,17.3,-99.3,0.0,0.0,0.0
1937,11.0,6.0,0.0,0.0,0.0,0.0,0.0,INDONESIA,INDONESIA:  NEW GUINEA:  FAKFAK,no info,-3.0,132.3,0.0,0.0,33.0
1937,11.0,14.0,10.0,58.0,12.0,7.2,7.0,AFGHANISTAN,AFGHANISTAN:  HINDU KUSH,no info,36.5,70.5,0.0,0.0,240.0
1937,12.0,8.0,8.0,32.0,11.0,7.0,0.0,TAIWAN,TAIWAN:  TAIDONG,no info,22.9,121.2,0.0,1.0,0.0
1937,12.0,23.0,13.0,17.0,0.0,7.5,0.0,MEXICO,MEXICO:  GUERRERO:  OMETEPEC,no info,16.7,-98.5,4.0,0.0,60.0
1937,12.0,24.0,6.0,20.0,0.0,6.2,10.0,PERU,"PERU:  HUANCABAMBA,OXAPAMPA,EL PROGRESO,SAN DAVID",no info,-10.5,-76.5,15.0,0.0,10.0
1937,12.0,26.0,0.0,0.0,0.0,0.0,0.0,EL SALVADOR,"EL SALVADOR:  AHUACHAPAN,ATIQUIZAYA,TURIN,LA PUERTA",no info,13.5,-89.5,0.0,0.0,0.0
1938,1.0,2.0,0.0,0.0,0.0,0.0,7.0,MEXICO,MEXICO:  OMETEPEC,no info,16.1,-98.3,0.0,0.0,0.0
1938,2.0,1.0,19.0,4.0,18.0,8.5,0.0,INDONESIA,INDONESIA:  NEW GUINEA,no info,-5.25,130.5,0.0,0.0,25.0
1938,2.0,4.0,14.0,23.0,0.0,0.0,8.0,COLOMBIA,COLOMBIA:  TAMESIS,no info,5.1,-75.5,2.0,0.0,130.0
1938,2.0,13.0,0.0,0.0,0.0,0.0,0.0,INDONESIA,INDONESIA:  NEW GUINEA:  FAKFAK,no info,-3.0,132.3,0.0,0.0,0.0
1938,3.0,6.0,1.0,56.0,0.0,0.0,0.0,PAPUA NEW GUINEA,PAPUA NEW GUINEA,no info,-5.1,153.1,0.0,0.0,0.0
1938,3.0,22.0,15.0,22.0,14.0,6.3,0.0,CANADA,CANADA:  BRITISH COLUMBIA,BC,52.2,-131.9,0.0,0.0,16.0
1938,4.0,19.0,10.0,59.0,0.0,6.7,10.0,TURKEY,TURKEY:  KIRSEHIR,no info,39.4,33.8,224.0,0.0,33.0
1938,4.0,25.0,17.0,7.0,0.0,0.0,0.0,NICARAGUA,"NICARAGUA:  LEON,CHINANDEGA",no info,12.2,-86.9,0.0,0.0,0.0
1938,5.0,6.0,18.0,17.0,0.0,0.0,0.0,NICARAGUA,NICARAGUA:  LEON (TELICA VOLCANO DESTROYED),no info,12.3,-86.9,0.0,0.0,0.0
1938,5.0,12.0,15.0,38.0,57.0,7.5,0.0,PAPUA NEW GUINEA,PAPUA NEW GUINEA,no info,-6.0,147.8,0.0,0.0,0.0
1938,5.0,14.0,12.0,3.0,9.0,6.0,8.0,CHINA,CHINA:  YUNNAN PROVINCE,no info,21.7,99.5,0.0,0.0,0.0
1938,5.0,19.0,17.0,8.0,21.0,7.6,9.0,INDONESIA,INDONESIA:  SULAWESI ISLAND,no info,-1.0,120.0,0.0,0.0,0.0
1938,5.0,23.0,0.0,0.0,0.0,0.0,0.0,JAPAN,JAPAN TRENCH,no info,36.7,141.4,0.0,0.0,0.0
1938,5.0,28.0,16.0,42.0,0.0,6.1,0.0,JAPAN,"E. HOKKAIDO ISLAND, JAPAN",no info,43.6,144.3,0.0,0.0,0.0
1938,6.0,10.0,9.0,53.0,44.6,7.6,0.0,JAPAN,JAPAN:  SW RYUKYU ISLANDS,no info,25.208000000000002,125.115,0.0,0.0,35.0
1938,6.0,28.0,0.0,0.0,0.0,0.0,0.0,MEXICO,MEXICO:  TELOLOAPAN,no info,18.2,-99.5,0.0,0.0,0.0
1938,8.0,10.0,2.0,2.0,0.0,6.3,10.0,ECUADOR,"ECUADOR:  ALANGASI,SANGOLQUI,TINGO-PICHINCHA",no info,-0.3,-78.4,0.0,0.0,10.0
1938,11.0,5.0,8.0,43.0,21.0,7.7,0.0,JAPAN,JAPAN:  NEAR E COAST HONSHU,no info,37.1,141.7,1.0,0.0,30.0
1938,11.0,5.0,10.0,50.0,15.0,7.6,0.0,JAPAN,JAPAN:  NEAR E COAST HONSHU,no info,37.2,141.7,0.0,0.0,30.0
1938,11.0,6.0,8.0,53.0,53.0,7.5,0.0,JAPAN,JAPAN:  OFF EAST COAST HONSHU,no info,37.5,142.2,0.0,0.0,0.0
1938,11.0,6.0,21.0,38.0,47.0,7.1,0.0,JAPAN,JAPAN:  NEAR E COAST HONSHU,no info,37.0,141.7,0.0,0.0,0.0
1938,11.0,9.0,2.0,22.0,0.0,0.0,0.0,JAPAN,JAPAN:  SANRIKU,no info,37.6,141.2,0.0,0.0,20.0
1938,11.0,10.0,20.0,18.0,41.2,8.2,6.0,USA,ALASKA,AK,55.48,-158.37,0.0,0.0,25.0
1938,11.0,13.0,22.0,31.0,0.0,6.0,0.0,JAPAN,JAPAN:  SANRIKU,no info,37.0,141.5,0.0,0.0,60.0
1938,11.0,22.0,1.0,14.0,0.0,0.0,0.0,JAPAN,JAPAN:  SANRIKU,no info,36.7,142.1,0.0,0.0,10.0
1938,11.0,30.0,2.0,29.0,0.0,0.0,0.0,JAPAN,JAPAN:  SANRIKU,no info,37.0,142.2,0.0,0.0,50.0
1938,12.0,6.0,23.0,0.0,51.0,7.0,0.0,TAIWAN,TAIWAN,no info,22.9,121.5,0.0,0.0,0.0
1939,1.0,2.0,4.0,35.0,0.0,5.3,0.0,TURKEY,TURKEY,no info,36.3,30.7,0.0,0.0,0.0
1939,1.0,25.0,3.0,32.0,14.0,8.3,10.0,CHILE,CHILE:  CHILLAN,no info,-36.25,-72.25,30000.0,0.0,60.0
1939,1.0,27.0,20.0,10.0,15.0,0.0,0.0,ITALY,ITALY:  CALABRIA,no info,38.5,14.7,0.0,0.0,15.0
1939,1.0,30.0,2.0,18.0,30.0,7.7,0.0,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BOUGAINVILLE ISLAND,no info,-7.08,155.386,5.0,0.0,35.0
